기준년월,순위번호,도서명정보,저자명정보,출판사명,출판년도,권수(권),도서이미지URL
2023-05,1,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2021,,https://image.aladin.co.kr/product/26942/84/cover/k582730818_1.jpg
2023-05,2,아버지의 해방일지 :정지아 장편소설,지은이: 정지아,창비,2022,,https://image.aladin.co.kr/product/30048/51/cover/8936438832_1.jpg
2023-05,3,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,2,https://image.aladin.co.kr/product/29858/98/cover/k432838027_1.jpg
2023-05,4,달러구트 꿈 백화점.이미예 장편소설,지은이: 이미예,팩토리나인,2020,,https://image.aladin.co.kr/product/24512/70/cover/k392630952_1.jpg
2023-05,5,"어서오세요, 휴남동 서점입니다 :황보름 장편소설",지은이: 황보름,클레이하우스,2022,,https://image.aladin.co.kr/product/28685/95/cover/k362836265_1.jpg
2023-05,6,역행자 :돈·시간·운명으로부터 완전한 자유를 얻는 7단계 인생 공략집,자청 지음,웅진씽크빅,2022,,https://image.aladin.co.kr/product/29521/63/cover/8901260719_1.jpg
2023-05,7,하얼빈 :김훈 장편소설,지은이: 김훈,문학동네,2022,,https://image.aladin.co.kr/product/29857/0/cover/895469991x_1.jpg
2023-05,8,(이미 늦었다고 생각하는 당신을 위한) 김미경의 마흔 수업,김미경 지음,엠케이유니버스,2023,,https://image.aladin.co.kr/product/30995/11/cover/k672831500_1.jpg
2023-05,9,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,3,https://image.aladin.co.kr/product/22327/46/cover/k782636924_1.jpg
2023-05,10,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,7,https://image.aladin.co.kr/product/26556/36/cover/k602738939_1.jpg
2023-05,11,작별인사 :김영하 장편소설,지은이: 김영하,복복서가,2022,,https://image.aladin.co.kr/product/29281/68/cover/k122837904_1.jpg
2023-05,11,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,1,https://image.aladin.co.kr/product/19404/61/cover/k712635217_1.jpg
2023-05,13,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,4,https://image.aladin.co.kr/product/23568/96/cover/k992638123_1.jpg
2023-05,14,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,5,https://image.aladin.co.kr/product/24307/73/cover/k822630592_2.jpg
2023-05,15,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,6,https://image.aladin.co.kr/product/25301/95/cover/k062633309_1.jpg
2023-05,16,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,8,https://image.aladin.co.kr/product/27456/81/cover/k752733475_1.jpg
2023-05,17,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,10,https://image.aladin.co.kr/product/29286/99/cover/k082837005_1.jpg
2023-05,18,"물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기",룰루 밀러 지음 ;정지인 옮김,곰출판,2021,,https://image.aladin.co.kr/product/28465/73/cover/k092835920_1.jpg
2023-05,19,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,9,https://image.aladin.co.kr/product/28395/15/cover/k962835911_1.jpg
2023-05,20,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,2,https://image.aladin.co.kr/product/20398/4/cover/k002635150_1.jpg
2023-05,21,흔한남매,원작: 흔한남매 ;그림: 유난희,미래엔,2019,11,https://image.aladin.co.kr/product/29832/74/cover/k652838723_1.jpg
2023-05,22,밝은 밤 :최은영 장편소설,지은이: 최은영,문학동네,2021,,https://image.aladin.co.kr/product/27541/91/cover/8954681174_1.jpg
2023-05,22,아몬드손원평 장편소설,손원평,창비,2017,,http://image.aladin.co.kr/product/16839/4/cover/k492534773_1.jpg
